system_id,npi,gender,age,languages,education,residency,fellowship,name
PROV-48271,1234567890,Female,42,"English (native), Mandarin (fluent), Spanish (conversational)",Johns Hopkins School of Medicine MD/PhD program,Mayo Clinic Internal Medicine,Massachusetts General Hospital Endocrinology,Dr. Emily Chen
PROV-62145,3728591460,Male,51,"English (native), Arabic (fluent), French (basic)",Stanford University School of Medicine,Cleveland Clinic Internal Medicine,"Duke University Medical Center Cardiology, Mount Sinai Hospital Interventional Cardiology",Dr. Ahmed Hassan
PROV-19837,6472819503,Non-binary,39,"English (native), Russian (fluent), German (conversational)",Yale School of Medicine,UCSF Neurology,Stanford Sleep Medicine,Dr. Jordan Lee
PROV-73402,9816253704,Male,47,"English (native), Spanish (fluent)",University of Pennsylvania School of Medicine,Hospital for Special Surgery Orthopedics,Andrews Sports Medicine and Orthopedic Center,Dr. Carlos Rodriguez
PROV-25619,2583691470,Female,36,"English (native), Hindi (fluent), Portuguese (conversational)",Baylor College of Medicine,Boston Children's Hospital Pediatrics,Cincinnati Children's Hospital Pediatric Emergency Medicine,Dr. Priya Kumar
PROV-51390,7391825604,Female,45,"English (native), French (fluent), Haitian Creole (native)",Howard University College of Medicine,Brigham and Women's Hospital OB/GYN,Columbia University Medical Center Maternal-Fetal Medicine,Dr. Sophie Jean-Baptiste
PROV-38742,5637281940,Female,32,"English (native), Spanish (fluent), Tagalog (basic)",University of Washington School of Medicine,Swedish Medical Center Family Medicine,,Dr. Maria Gonzalez
PROV-90127,1492835670,Male,58,"English (native), Hebrew (fluent), Italian (conversational)",Weill Cornell Medical College,NYU Psychiatry,Betty Ford Center Addiction Medicine,Dr. David Goldstein
PROV-46823,8273619405,Female,44,"English (native), Korean (native), Japanese (conversational)",University of Michigan Medical School,University of Miami Dermatology,Memorial Sloan Kettering Dermatopathology,Dr. Hana Kim
PROV-12576,3948572610,Male,41,"English (native), Urdu (native), Punjabi (fluent)",Duke University School of Medicine,Massachusetts General Hospital Internal Medicine,"UCSF Gastroenterology, Mayo Clinic Hepatology",Dr. Ali Khan
PROV-58901,7492158360,Female,49,"English (native), Mandarin (native), Cantonese (fluent)",Harvard Medical School,Dana-Farber Cancer Institute,"MD Anderson Cancer Center Oncology, Fred Hutchinson Cancer Research Center Hematology",Dr. Mei Wong
PROV-33487,2847519630,Male,52,"English (native), Spanish (conversational)",UCLA David Geffen School of Medicine,University of Chicago Internal Medicine,"Cleveland Clinic Pulmonary, Johns Hopkins Critical Care",Dr. Richard Martinez
PROV-79652,6193827450,Female,38,"English (native), Farsi (fluent), Arabic (basic)",University of California San Francisco School of Medicine,Northwestern University Internal Medicine,Emory University Nephrology,Dr. Leila Shirazi
PROV-21043,9275168430,Male,36,"English (native), Swahili (fluent), French (fluent)",Columbia University Vagelos College of Physicians and Surgeons,Beth Israel Deaconess Medical Center Internal Medicine,"Johns Hopkins Infectious Disease, UCSF HIV Medicine",Dr. Kofi Osei
PROV-64870,4726159830,Non-binary,42,"English (native), American Sign Language (fluent)",Albert Einstein College of Medicine,Cincinnati Children's Hospital Pediatrics,"Boston Children's Hospital Pediatric Neurology, Cleveland Clinic Epilepsy",Dr. Taylor Morgan
PROV-36291,5928174630,Male,48,"English (native), Polish (native), Russian (conversational)",University of Chicago Pritzker School of Medicine,Mayo Clinic Urology,Memorial Sloan Kettering Urologic Oncology,Dr. Piotr Kowalski
PROV-83745,1598274630,Female,53,"English (native), Vietnamese (conversational)",NYU Grossman School of Medicine,"UPMC General Surgery, University of Michigan Vascular Surgery",,Dr. Anh Nguyen
PROV-42519,7438291650,Male,44,"English (native), Telugu (native), Hindi (fluent)",Washington University School of Medicine,Memorial Sloan Kettering Cancer Center Radiation Oncology,,Dr. Raj Patel
PROV-91567,2745981630,Female,39,"English (native), Portuguese (fluent), Spanish (conversational)",Vanderbilt University School of Medicine,Brigham and Women's Hospital Internal Medicine,Hospital for Special Surgery Rheumatology,Dr. Isabella Costa
PROV-15932,8473921650,Male,35,"English (native), Greek (native), Turkish (basic)",University of Pittsburgh School of Medicine,Spaulding Rehabilitation Hospital PM&R,Hospital for Special Surgery Sports Medicine,Dr. Nikos Papadopoulos
PROV-67408,3927581460,Female,47,"English (native), Armenian (native), Russian (fluent)",University of Southern California Keck School of Medicine,Wills Eye Hospital Ophthalmology,Bascom Palmer Eye Institute Cornea,Dr. Anahit Grigoryan
PROV-28176,9127384650,Male,34,"English (native), Yoruba (fluent), French (conversational)",Emory University School of Medicine,Northwestern University Internal Medicine,National Jewish Health Allergy & Immunology,Dr. Tunde Adebayo
PROV-53782,5674923810,Female,44,"English (native), Spanish (fluent), Italian (conversational)",Oregon Health & Science University School of Medicine,UCSF General Surgery,R Adams Cowley Shock Trauma Center,Dr. Elena Rossi
PROV-74159,2493817560,Male,40,"English (native), Japanese (fluent), Mandarin (conversational)",Mount Sinai School of Medicine,University of Michigan Otolaryngology,MD Anderson Head & Neck Surgery,Dr. Kenji Yamamoto
PROV-31726,7382916540,Female,51,"English (native), Romanian (native), German (fluent)",Harvard Medical School,NYU Plastic Surgery,University of Pennsylvania Hand Surgery,Dr. Elena Popescu
PROV-87294,4726159380,Male,46,"English (native), Hindi (native), Bengali (fluent)",University of Texas Southwestern Medical School,Mayo Clinic Anesthesiology,Cleveland Clinic Pain Medicine,Dr. Raj Singh
PROV-41085,8271935460,Non-binary,37,"English (native), Spanish (fluent), French (conversational)",Johns Hopkins School of Medicine,University of Washington Emergency Medicine,UCSF Critical Care,Dr. Alex Dupont
PROV-96342,1598273640,Female,43,"English (native), Cantonese (native), Spanish (fluent)",University of Michigan Medical School,Boston Children's Hospital Pediatrics,"Texas Children's Hospital Pediatric Cardiology, Mayo Clinic Adult Congenital Heart Disease",Dr. Carmen Li
